device,s1,s2,s3,s4,sum,sum-squared,time-ms,state
ctrl2_80bpm,1023,1023,169,1023,62,0,0,0
ctrl2_80bpm,1023,1023,171,1023,62,0,0,0
ctrl2_80bpm,1023,1023,171,1023,62,0,0,0
ctrl2_80bpm,1023,1023,171,1023,62,0,0,0
ctrl2_80bpm,1023,1023,168,1023,62,0,0,0
ctrl2_80bpm,1023,1023,175,1023,62,72,0,0
ctrl2_80bpm,1023,1023,171,1023,62,72,0,0
ctrl2_80bpm,1023,1023,176,1023,62,72,0,0
ctrl2_80bpm,1023,1023,180,1023,62,72,0,0
ctrl2_80bpm,1023,1023,178,1023,62,72,0,0
ctrl2_80bpm,0,504,0,12,62,72,0,0
ctrl2_80bpm,0,213,0,0,62,72,0,0
ctrl2_80bpm,0,101,0,0,62,72,0,0
ctrl2_80bpm,0,84,0,0,62,72,0,0
ctrl2_80bpm,0,81,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,78,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,77,0,0,62,72,0,0
ctrl2_80bpm,0,78,0,0,62,72,0,0
ctrl2_80bpm,0,73,0,0,62,72,0,0
ctrl2_80bpm,0,77,0,0,62,72,0,0
ctrl2_80bpm,0,77,0,0,62,72,0,0
ctrl2_80bpm,0,78,0,0,62,72,0,0
ctrl2_80bpm,0,82,0,1023,62,72,0,56
ctrl2_80bpm,91,1023,65,1023,62,72,0,56
ctrl2_80bpm,88,1023,60,1023,62,72,0,56
ctrl2_80bpm,80,1023,54,1023,62,72,0,56
ctrl2_80bpm,80,1023,52,1023,62,72,0,56
ctrl2_80bpm,84,1023,46,1023,62,72,0,56
ctrl2_80bpm,83,1023,60,1023,62,72,0,56
ctrl2_80bpm,86,1023,64,1023,62,72,0,56
ctrl2_80bpm,76,1023,60,1023,62,72,0,56
ctrl2_80bpm,81,1023,60,1023,62,72,0,56
ctrl2_80bpm,73,1023,84,1023,62,72,0,56
ctrl2_80bpm,84,1023,75,1023,62,72,0,56
ctrl2_80bpm,88,1023,83,1023,62,72,0,56
ctrl2_80bpm,76,1023,80,1023,62,72,0,56
ctrl2_80bpm,89,1023,54,1023,62,75,0,56
ctrl2_80bpm,73,1023,70,1023,62,75,0,56
ctrl2_80bpm,0,412,0,0,62,75,0,56
ctrl2_80bpm,0,176,0,0,62,75,0,56
ctrl2_80bpm,0,96,0,0,62,75,0,56
ctrl2_80bpm,0,83,0,0,62,75,0,56
ctrl2_80bpm,0,82,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,81,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,78,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,81,0,0,62,75,0,56
ctrl2_80bpm,0,77,0,0,62,75,0,56
ctrl2_80bpm,252,117,0,0,62,75,0,56
ctrl2_80bpm,1023,1023,72,52,63,75,0,56
ctrl2_80bpm,1023,1023,52,48,63,75,0,56
ctrl2_80bpm,0,286,0,0,63,75,0,56
ctrl2_80bpm,0,124,0,0,63,75,0,56
ctrl2_80bpm,0,89,0,0,63,75,0,56
ctrl2_80bpm,0,83,0,0,63,75,0,56
ctrl2_80bpm,0,82,0,160,63,75,0,56
ctrl2_80bpm,0,80,0,491,63,75,0,56
ctrl2_80bpm,0,81,0,724,63,75,0,56
ctrl2_80bpm,0,80,0,879,63,75,0,56
ctrl2_80bpm,0,76,0,919,63,75,0,56
ctrl2_80bpm,0,77,0,865,63,75,0,56
ctrl2_80bpm,0,76,0,783,63,75,0,56
ctrl2_80bpm,0,78,0,703,63,75,0,56
ctrl2_80bpm,0,80,0,647,63,75,0,56
ctrl2_80bpm,0,80,0,613,63,75,0,56
ctrl2_80bpm,0,78,0,599,63,75,0,58
ctrl2_80bpm,0,76,0,596,63,75,0,58
ctrl2_80bpm,0,80,0,610,63,75,0,58
ctrl2_80bpm,0,79,0,627,63,75,0,58
ctrl2_80bpm,0,76,0,636,63,75,0,58
ctrl2_80bpm,0,80,0,647,63,75,0,58
ctrl2_80bpm,0,76,0,657,63,75,0,58
ctrl2_80bpm,0,78,0,660,63,75,0,58
ctrl2_80bpm,0,76,0,662,63,75,0,58
ctrl2_80bpm,0,76,0,659,63,75,0,58
ctrl2_80bpm,0,78,0,660,63,75,0,58
ctrl2_80bpm,0,78,0,654,63,75,0,58
ctrl2_80bpm,0,77,0,651,63,75,0,58
ctrl2_80bpm,0,76,0,652,63,75,0,58
ctrl2_80bpm,0,78,0,652,63,75,0,58
ctrl2_80bpm,0,80,0,651,63,75,0,58
ctrl2_80bpm,0,78,0,648,63,75,0,58
ctrl2_80bpm,0,78,0,649,63,75,0,58
ctrl2_80bpm,0,78,0,652,63,75,0,58
ctrl2_80bpm,0,78,0,654,63,75,0,58
ctrl2_80bpm,0,79,0,653,63,75,0,58
ctrl2_80bpm,0,80,0,653,63,75,0,58
ctrl2_80bpm,0,77,0,659,63,75,0,58
ctrl2_80bpm,0,76,0,654,63,75,0,58
ctrl2_80bpm,0,76,0,652,63,75,0,58
ctrl2_80bpm,0,78,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,651,63,75,0,58
ctrl2_80bpm,0,74,0,654,63,75,0,58
ctrl2_80bpm,0,76,0,647,63,75,0,58
ctrl2_80bpm,0,76,0,647,63,75,0,58
ctrl2_80bpm,0,73,0,652,63,75,0,58
ctrl2_80bpm,0,73,0,647,63,75,0,58
ctrl2_80bpm,0,74,0,651,63,75,0,58
ctrl2_80bpm,0,78,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,652,63,75,0,58
ctrl2_80bpm,0,74,0,655,63,75,0,58
ctrl2_80bpm,0,78,0,660,63,75,0,58
ctrl2_80bpm,0,76,0,661,63,75,0,58
ctrl2_80bpm,0,76,0,661,63,75,0,58
ctrl2_80bpm,0,81,0,660,63,75,0,58
ctrl2_80bpm,0,80,0,660,63,75,0,58
ctrl2_80bpm,0,76,0,662,63,75,0,58
ctrl2_80bpm,0,76,0,659,63,75,0,58
ctrl2_80bpm,0,80,0,659,63,75,0,58
ctrl2_80bpm,0,78,0,659,63,75,0,58
ctrl2_80bpm,0,77,0,657,63,75,0,58
ctrl2_80bpm,0,77,0,657,63,75,0,58
ctrl2_80bpm,0,77,0,655,63,75,0,58
ctrl2_80bpm,0,80,0,652,63,75,0,58
ctrl2_80bpm,0,76,0,659,63,75,0,58
ctrl2_80bpm,0,76,0,655,63,75,0,58
ctrl2_80bpm,0,76,0,655,63,75,0,58
ctrl2_80bpm,0,78,0,655,63,75,0,58
ctrl2_80bpm,0,78,0,654,63,75,0,58
ctrl2_80bpm,0,80,0,653,63,75,0,58
ctrl2_80bpm,0,78,0,659,63,75,0,58
ctrl2_80bpm,0,73,0,659,63,75,0,58
ctrl2_80bpm,0,76,0,655,63,75,0,58
ctrl2_80bpm,0,77,0,660,63,75,0,58
ctrl2_80bpm,0,73,0,657,63,75,0,58
ctrl2_80bpm,0,77,0,661,63,75,0,58
ctrl2_80bpm,0,76,0,660,63,75,0,58
